กอ	k ɔː
อายุใช้งาน	ʔ aː . j u 3 . c ʰ a j 3 . ŋ aː n
เครื่องเล่นเกม	kʰ r ɯː a ŋ 2 . l e n 2 . k eː m
ฟังก์ชั่น	f a ŋ . c ʰ a n 2
ที่ปรึกษา	tʰ iː 2 . p r ɯ k 1 . s aː 4
ได้ผล	d aː j 2 . pʰ o n 4
การย้อมสี	k aː n . j ɔː m 3 . s iː 4
เอ็ก	ʔ e k 3
เกิดผล	k ɤː t 1 . pʰ o n 4
พยาธิวิทยา	pʰ a 3 . j aː t 2 . w i t 3 . tʰ a 3 . j aː
ลัส	l a t 3
คลื่นสั้น	kʰ l ɯː n 2 . s a n 2
ผลตอบแทน	pʰ o n 4 . t ɔː p 1 . tʰ ɛː n
อันเนื่องมาจาก	ʔ a n . n ɯː a ŋ 2 . m aː . c aː k 1
อะ	ʔ a 1
ติปาถะ	t i 1 . p aː . tʰ a 1
ส่วนข้อมูล	s uː a n 1 . kʰ ɔː 2 . m uː n
ไม่ใคร่	m a j 2 . kʰ r a j
สห	s a 1 . h a 1
จุดเด่น	c u t 1 . d eː n 1
ประเทศกำลังพัฒนา	p r a 1 . tʰ eː t 2 . k a m . l a ŋ . pʰ a t 3 . tʰ a 3 . n aː
แทนที่จะ	tʰ ɛː n . tʰ iː 2 . c a 1
ชวย	c ʰ uː a j
กัดกร่อน	k a t 1 . k r ɔː n 1
ส่วนเกิน	s uː a n 1 . k ɤː n
ให้ราคา	h a j 2 . r aː . kʰ aː
อย่างเข้มงวด	j aː ŋ 1 . kʰ e m 2 . ŋ uː a t 2
ผู้บริหารระดับสูง	pʰ uː 2 . b r i 1 . h aː n 4 . r a 3 . d a p 1 . s uː ŋ 4
ทั้งสอง	tʰ a ŋ 3 . s ɔː ŋ 4
เข้าสู่	kʰ a w 2 . s uː 1
ขับเคลื่อนด้วย	kʰ a p 1 . kʰ l ɯː a n 2 . d uː a j 2
พื้นโลก	pʰ ɯː n 3 . l oː k 2
วิทยุคมนาคม	w i t 3 . tʰ a 3 . j u 3 . kʰ a 3 . m a 3 . n aː . kʰ o m
ทางเทคนิค	tʰ aː ŋ . tʰ eː k 3 . n i k 3
การสนใจ	k aː n . s o n 4 . c a j
อะมิโน	ʔ a 1 . m i 3 . n oː
ตันตระ	t a n . t r a 1
มองว่า	m ɔː ŋ . w aː 2
เชิงพาณิชย์	c ʰ ɤː ŋ . pʰ aː . n i t 3
เครื่องรับ	kʰ r ɯː a ŋ 2 . r a p 3
อาร์ซี	ʔ aː . s iː
แอโนด	ʔ ɛː . n oː t 2
เป็นเหตุให้	p e n . h eː t 1 . h a j 2
ต่อกัน	t ɔː 1 . k a n
ส่วนใหญ่	s uː a n 1 . j a j 1
เป็นพิเศษ	p e n . pʰ i 3 . s eː t 1
ด้วยเหตุนี้	d uː a j 2 . h eː t 1 . n iː 3
ไมโคร	m a j . kʰ r oː
กรมวิทยาศาสตร์บริการ	k r o m . w i t 3 . tʰ a 3 . j aː . s aː t 1 . b r i 1 . k aː n
หัวงาน	h uː a 4 . ŋ aː n
สัณฐาน	s a n 4 . tʰ aː n 4
เห็นได้ชัด	h e n 4 . d aː j 2 . c ʰ a t 3
โชอิเล็ค	c ʰ oː . ʔ i 1 . l e k 3
ฮิ	h i 3
ระหว่างชาติ	r a 3 . w aː ŋ 1 . c ʰ aː t 2 . t i 1
น้อยลง	n ɔː j 3 . l o ŋ
นอกจากนั้น	n ɔː k 2 . c aː k 1 . n a n 3
แรงกาย	r ɛː ŋ . k aː j
ไมโครเมตร	m a j . kʰ r oː . m eː t 3
ลอ	l ɔː
ตั้งอยู่	t a ŋ 2 . j uː 1
เข้าเครื่อง	kʰ a w 2 . kʰ r ɯː a ŋ 2
กำลังคน	k a m . l a ŋ . kʰ o n
ฟ	f ɔː
เสียงเพลง	s iː a ŋ 4 . pʰ l eː ŋ
กล้องโทรทัศน์	k l ɔː ŋ 2 . tʰ oː . r a 3 . tʰ a t 3
กรรมวิธี	k a m . m a 3 . w i 3 . tʰ iː
ภาษาเยอรมัน	pʰ aː . s aː 4 . j eː . ʔ ɔː n . m a n
มีปัญหา	m iː . p a n . h aː 4
อยู่กับที่	j uː 1 . k a p 1 . tʰ iː 2
ซ์มอ	m ɔː
ฮอร์น	h ɔː n
งก	ŋ o k 3
สารพิษ	s aː n 4 . pʰ i t 3
เทคโนโลยีสารสนเทศ	tʰ eː k 3 . n oː . l oː . j iː . s aː 4 . r a 3 . s o n 4 . tʰ eː t 2
ให้ความรู้	h a j 2 . kʰ w aː m . r uː 3
ของเหลือ	kʰ ɔː ŋ 4 . l ɯː a 4
สวิทช์	s a 1 . w i t 1
ไม่เหมาะสม	m a j 2 . m ɔ 1 . s o m 4
แบ็คอัพ	b ɛ k 1 . ʔ a p 1
เวิค	w ɤː k 2
ย่อส่วน	j ɔː 2 . s uː a n 1
ช์	
แนวทาง	n ɛː w . tʰ aː ŋ
การประดิษฐ์	k aː n . p r a 1 . d i t 1
เปอร์	p ɤː
เกื้อหนุน	k ɯː a 2 . n u n 4
ไม่มีปัญหา	m a j 2 . m iː . p a n . h aː 4
ยกตัวอย่างเช่น	j o k 3 . t uː a . j aː ŋ 1 . c ʰ eː n 2
โครงสร้างพื้นฐาน	kʰ r oː ŋ . s aː ŋ 2 . pʰ ɯː n 3 . tʰ aː n 4
แบ่งเวลา	b ɛ ŋ 1 . w eː . l aː
เพิ่มมากขึ้น	pʰ ɤː m 2 . m aː k 2 . kʰ ɯ n 2
วิริยะ	w i 3 . r i 3 . j a 3
ปฎิชีวนะ	p a 1 . t i 1 . c ʰ iː . w a 3 . n a 3
ปลีกย่อย	p l iː k 1 . j ɔː j 2
ยิ่งกว่านั้น	j i ŋ 2 . k w aː 1 . n a n 3
คันเร่ง	kʰ a n . r e ŋ 2
ทช	tʰ o t 3
ผู้ประกันตน	pʰ uː 2 . p r a 1 . k a n . t o n
ทางอ้อม	tʰ aː ŋ . ʔ ɔː m 2
ความแข็งแรง	kʰ w aː m . kʰ ɛ ŋ 4 . r ɛː ŋ
แฟ้มข้อมูล	f ɛː m 3 . kʰ ɔː 2 . m uː n
เอกเทศ	ʔ eː k 1 . tʰ eː t 2
สมพงศ์	s o m 4 . pʰ o ŋ
เป็นกรด	p e n . k r o t 1
ช่องสัญญาณ	c ʰɔː ŋ 2 . s a n 4 . j aː n
ส่งออก	s o ŋ 1 . ʔ ɔː k 1
ร์ด	
ไมครอน	m a j . kʰ r ɔː n
ทางเศรษฐกิจ	tʰ aː ŋ . s eː t 1 . tʰ a 1 . k i t 1
ศิร	s i 1 . r a 3
ระยะไกล	r a 3 . j a 3 . k l a j
ธึมบน	tʰ ɯ m . b o n
จตุพร	c a 1 . t u 1 . pʰ ɔː n
อรูป	ʔ a 1 . r uː p 2
ดังเช่น	d a ŋ . c ʰ eː n 2
กราฟิก	k r aː . f i k 3
ทาบ	tʰ aː p 2
มีพิษ	m iː . pʰ i t 3
รับสาย	r a p 3 . s aː j 4
คล่องตัว	kʰ l ɔː ŋ 2 . t uː a
หัวต่อ	h uː a 4 . t ɔː 1
ในอนาคต	n a j . ʔ a 1 . n aː . kʰ o t 3
ถ้าหาก	tʰ aː 2 . h aː k 1
สภาพ	s a 1 . pʰ aː p 2
บ	b ɔː
เนอ	n ɤː
ดิส	d i t 1
ออนซ์	ʔ ɔː n
ยุ่งยาก	j u ŋ 2 . j aː k 2
ฮิตาชิ	h i 3 . t aː . c ʰ i 3
ตามระเบียบ	t aː m . r a 3 . b iː a p 1
ทิ	tʰ i 3
พระบรมราชูปถัมภ์	pʰ r a 3 . b ɔː . r o m . m a 3 . r aː . c ʰ uː . p a 1 . tʰ a m 4
เหตุขัดข้อง	h eː t 1 . kʰ a t 1 . kʰ ɔː ŋ 2
ภาษาต่างประเทศ	pʰ aː . s aː 4 . t aː ŋ 1 . p r a 1 . tʰ eː t 2
กรณีที่	k ɔː n . n iː . tʰ iː 2
ผลการเรียน	pʰ o n 4 . k aː n . r iː a n
การสำรอง	k aː n . s a m 4 . r ɔː ŋ
การศึกษาต่อเนื่อง	k aː n . s ɯ k 1 . s aː 4 . t ɔː 1 . n ɯː a ŋ 2
รหัสไปรษณีย์	r a 3 . h a t 1 . p r a j . s a 1 . n iː
ดังกล่าวข้างต้น	d a ŋ . k l aː w 1 . kʰ aː ŋ 2 . t o n 2
มิต	m i t 3
รวมกัน	r uː a m . k a n
จัดตั้งขึ้น	c a t 1 . t a ŋ 2 . kʰ ɯ n 2
จวนตัว	c uː a n . t uː a
อุตุนิยมวิทยา	ʔ u 1 . t u 1 . n i 3 . j o m . w i t 3 . tʰ a 3 . j aː
เบลอ	b l ɤː
รัพท์	r a p 3
กิ้ม	k i m 2
ธารา	tʰ aː . r aː
ดีมาก	d iː . m aː k 2
คุณลักษณะ	kʰ u n . n a 3 . l a k 3 . s a 1 . n a 1
มาโดยตลอด	m aː . d oː j . t a 1 . l ɔː t 1
พุ	pʰ u 3
กระทบกระเทือน	k r a 1 . tʰ o p 3 . k r a 1 . tʰ ɯː a n
เปรม	p r eː m
แสงอาทิตย์	s ɛː ŋ 4 . ʔ aː . tʰ i t 3
ยิ่งยวด	j i ŋ 2 . j uː a t 2
เหมือนเดิม	m ɯː a n 4 . d ɤː m
ครูผู้สอน	kʰ r uː . pʰ uː 2 . s ɔː n 4
การทำรายงาน	k aː n . tʰ a m . r aː j . ŋ aː n
ที่จะ	tʰ iː 2 . c a 1
อำนวยการ	ʔ a m . n uː a j . k aː n
ทช์	tʰ ɔː
โส	s oː 4
ผู้อื่น	pʰ uː 2 . ʔ ɯː n 1
ทำการ	tʰ a m . k aː n
ผู้ประกัน	pʰ uː 2 . p r a 1 . k a n
ผลการวิจัย	pʰ o n 4 . k aː n . w i 3 . c a j
เป็นเรื่อง	p e n . r ɯː a ŋ 2
การค้นคว้า	k aː n . kʰ o n 3 . kʰ w aː 3
พัลล์	pʰ a n
เลขที่	l eː k 2 . tʰ iː 2
กรมบัญชีกลาง	k r o m . b a n . c ʰ iː . k l aː ŋ
   	 .  .  . 
ด้วยมือ	d uː a j 2 . m ɯː
อนุ	ʔ a 1 . n u 3
ภาคนิพนธ์	pʰ aː k 2 . n i 3 . pʰ o n
อัล	ʔ a n
เนื้อหาสาระ	n ɯː a 3 . h aː 4 . s aː 4 . r a 3
โปรแกรมเมอร์	p r oː . k r ɛː m . m ɤː
เหลือเกิน	l ɯː a 4 . k ɤː n
ถือเป็น	tʰ ɯː 4 . p e n
หะยี	h a 1 . j iː
ผู้พัฒนา	pʰ uː 2 . pʰ a t 3 . tʰ a 3 . n aː
อัตราแลกเปลี่ยน	ʔ a t 1 . t r a . l ɛː k 2 . p l iː a n 1
จุดอ่อน	c u t 1 . ʔ ɔː n 1
เร็ค	r e k 3
เภสัชศาสตร์	pʰ eː . s a t 1 . c ʰ a 3 . s aː t 1
กลยุทธ	k o n . l a 3 . j u t 3 . tʰ a 3
ตัวพิมพ์	t uː a . pʰ i m
ในทางตรงกันข้าม	n a j . tʰ aː ŋ . t r o ŋ . k a n . kʰ aː m 2
ต่ำกว่า	t a m 1 . k w aː 1
1	1
พัฒน์พงษ์	pʰ a t 3 . pʰ o ŋ
รับสัญญาณ	r a p 3 . s a n 4 . j aː n
หูโทรศัพท์	h uː 4 . tʰ oː . r a 3 . s a p 1
อินเตอร์	ʔ i n . t ɤː 2
รื่อ	r ɯː 2
โรคผิวหนัง	r oː k 2 . pʰ i w 4 . n a ŋ 4
กรณีพิเศษ	k ɔː n . n iː . pʰ i 3 . s eː t 1
รซ	r ɔː . s ɔː
เทียบเคียง	tʰ iː a p 2 . kʰ iː a ŋ
ชุน	c ʰ u n
จัมพ์	c a m
ดังที่	d a ŋ . tʰ iː 2
ควบกล้ำ	kʰ uː a p 2 . k l a m 2
ภาควิชา	pʰ aː k 2 . w i 3 . c ʰ aː
ปฏิบัติงาน	p a 1 . t i 1 . b a t 1 . ŋ aː n
ตัวอย่างเช่น	t uː a . j aː ŋ 1 . c ʰ eː n 2
งานหลัก	ŋ aː n . l a k 1
อายุการใช้งาน	ʔ aː . j u 3 . k aː n . c ʰ a j 3 . ŋ aː n
สถาบันการศึกษา	s a 1 . tʰ aː 4 . b a n . k aː n . s ɯ k 1 . s aː 4
ปลายปี	p l aː j . p iː
ให้บริการ	h a j 2 . b r i 1 . k aː n
มอ	m ɔː
ผลได้	pʰ o n 4 . d aː j 2
เทอร์มินัล	tʰ ɤː . m i 3 . n a n
นิค	n i k 3
กรุ๊ป	k a 1 . r u p 3
จุดวาบไฟ	c u t 1 . w aː p 2 . f a j
ใช้เวลา	c ʰ a j 3 . w eː . l aː
ตลอดเวลา	t a 1 . l ɔː t 1 . w eː . l aː
สิ้นเปลือง	s i n 2 . p l ɯː a ŋ
ความกระทบกระเทือน	kʰ w aː m . k r a 1 . tʰ o p 3 . k r a 1 . tʰ ɯː a n
ควอทซ์	kʰ a 3 . w ɔː t 2
เป็นต้นมา	p e n . t o n 2 . m aː
วเล็ต	w a 3 . l e t 3
ซีน	s iː n
ตอนกลาง	t ɔː n . k l aː ŋ
ในทำนองเดียวกัน	n a j . tʰ a m . n ɔː ŋ . d iː a w . k a n
สลับซับซ้อน	s a 1 . l a p 1 . s a p 3 . s ɔː n 3
ต	t ɔː
ทั้งนี้	tʰ a ŋ 3 . n iː 3
ไซยาไนด์	s a j . j aː . n a j
สีฉูดฉาด	s iː 4 . c ʰ uː t 1 . c ʰ aː t 1
คาร์บอเนต	kʰ aː . b ɔː . n eː t 1
ซักซ้อม	s a k 3 . s ɔː m 3
วิวัฒน	w i 3 . w a t 3 . tʰ a 3 . n a 3
คำนาม	kʰ a m . n aː m
การแปลภาษาด้วยคอมพิวเตอร์	k aː n . p l ɛː . pʰ aː . s aː 4 . d uː a j 2 . kʰ ɔː m . pʰ i w . t ɤː 2
การอนุรักษ์	k aː n . ʔ a 1 . n u 3 . r a k 3
เป็นสมาชิก	p e n . s a 1 . m aː . c ʰ i k 3
แต่ละวัน	t ɛː 1 . l a 3 . w a n
งานค้นคว้าวิจัย	ŋ aː n . kʰ o n 3 . kʰ w aː 3 . w i 3 . c a j
ระบุชื่อ	r a 3 . b u 1 . c ʰ ɯː 2
แดมป์	d ɛː m
ยังอยู่	j a ŋ . j uː 1
คำประสม	kʰ a m . p r a 1 . s o m 4
การชุบ	k aː n . c ʰ u p 3
ความเสียหาย	kʰ w aː m . s iː a 4 . h aː j 4
ภร	pʰ a 3 . r a 3
สำนักงบประมาณ	s a m 4 . n a k 3 . ŋ o p 3 . p r a 1 . m aː n
ศัลยกรรมตกแต่ง	s a n 4 . j a 3 . k a m . t o k 1 . t ɛ ŋ 1
ทั้งวัน	tʰ a ŋ 3 . w a n
เบส	b eː t 1
เกท	k eː t 1
คอนดักเตอร์	kʰ ɔː n . d a k 1 . t ɤː 2
ยาปราบศัตรูพืช	j aː . p r aː p 1 . s a t 1 . t r uː . pʰ ɯː t 2
การประเมิน	k aː n . p r a 1 . m ɤː n
ทำให้เกิด	tʰ a m . h a j 2 . k ɤː t 1
ถ่ายทอด	tʰ aː j 1 . tʰ ɔː t 2
มีแนวโน้ม	m iː . n ɛː w . n oː m 3
คุณภาพต่ำ	kʰ u n . n a 3 . pʰ aː p 2 . t a m 1
นนท์	n o n
การไฟฟ้า	k aː n . f a j . f aː 3
บริหารงาน	b r i 1 . h aː n 4 . ŋ aː n
ประสาทตา	p r a 1 . s aː t 1 . t aː
อีกด้วย	ʔ iː k 1 . d uː a j 2
เลขจำนวนเต็ม	l eː k 2 . c a m . n uː a n . t e m
สัญญาณรบกวน	s a n 4 . j aː n . r o p 3 . k uː a n
เฉพาะถิ่น	c ʰ a 1 . pʰ ɔ 3 . tʰ i n 1
กรับ	k ɔː . r a p 3
นำมา	n a m . m aː
ทั่วประเทศ	tʰ uː a 2 . p r a 1 . tʰ eː t 2
ประเทศมหาอำนาจ	p r a 1 . tʰ eː t 2 . m a 3 . h aː 4 . ʔ a m . n aː t 2
ความราบรื่น	kʰ w aː m . r aː p 2 . r ɯː n 2
เสด	s eː t 1
การระมัดระวัง	k aː n . r a 3 . m a t 3 . r a 3 . w a ŋ
เป็นอื่น	p e n . ʔ ɯː n 1
มีผลต่อ	m iː . pʰ o n 4 . t ɔː 1
นาโน	n aː . n oː
ซุปเปอร์	s u p 3 . p ɤː
ร์	
ป	p ɔː
รวมทั้ง	r uː a m . tʰ a ŋ 3
ระบบดิจิตอล	r a 3 . b o p 1 . d i 1 . c i 1 . t ɔː n
การเข้าสู่	k aː n . kʰ a w 2 . s uː 1
การบัญญัติศัพท์	k aː n . b a n . j a t 1 . s a p 1
จำเป็นต้อง	c a m . p e n . t ɔː ŋ 2
ติ้ง	t i ŋ 2
ติดกัน	t i t 1 . k a n
ชั้นแรก	c ʰ a n 3 . r ɛː k 2
ภากร	pʰ aː . k ɔː n
เซิร์พ	s ɤː p 2
ตั้งขึ้น	t a ŋ 2 . kʰ ɯ n 2
ตลอ	t l ɔː
นท	n o t 3
เก็บของ	k e p 1 . kʰ ɔː ŋ 4
การรั่วไหล	k aː n . r uː a 2 . l a j 4
ระยะใกล้	r a 3 . j a 3 . k l a j
โฟล	f oː n
ตั้งฉาก	t a ŋ 2 . c ʰ aː k 1
ก่อนที่	k ɔː n 1 . tʰ iː 2
การคายน้ำ	k aː n . kʰ aː j . n aː m 3
แอดเดรส	ʔ ɛː t 1 . d a 1 . r eː t 1
ศิโรรัตน์	s i 1 . r oː . r a t 3
โดยปกติ	d oː j . p o k 1 . k a 1 . t i 1
ความเสถียร	kʰ w aː m . s a 1 . tʰ iː a n 4
ครั้งหนึ่ง	kʰ r a ŋ 3 . n ɯ ŋ 1
นุช	n u t 3
เส้ง	s eː ŋ 2
หมายความว่า	m aː j 4 . kʰ w aː m . w aː 2
ไม่สมบูรณ์	m a j 2 . s o m 4 . b uː n
อะคริลิก	ʔ a 1 . kʰ a 3 . r i 3 . l i k 3
ใช้เวลานาน	c ʰ a j 3 . w eː . l aː . n aː n
การขออนุมัติ	k aː n . kʰ ɔː 4 . ʔ a 1 . n u 3 . m a t 3
นายอานันท์ ปันยารชุน	n aː j . ʔ aː . n a n p a n . j aː . r a 3 . c ʰ u n
เวลานี้	w eː . l aː . n iː 3
คำอธิบาย	kʰ a m . ʔ a 1 . tʰ i 3 . b aː j
บ้านเรือน	b aː n 2 . r ɯː a n
ไม่จำกัด	m a j 2 . c a m . k a t 1
ด้วยตัวเอง	d uː a j 2 . t uː a . ʔ eː ŋ
เปิ้ล	p \ ɤ n 2
ยืดอายุ	j ɯː t 2 . ʔ aː . j u 3
เคมีภัณฑ์	kʰ eː . m iː . pʰ a n
เปลี่ยนสภาพ	p l iː a n 1 . s a 1 . pʰ aː p 2
ขบวนการ	kʰ a 1 . b uː a n . k aː n
เนื่องมาจาก	n ɯː a ŋ 2 . m aː . c aː k 1
มองเห็น	m ɔː ŋ . h e n 4
พลั้งเผลอ	pʰ l a ŋ 3 . pʰ l ɤː 4
ทัดเทียม	tʰ a t 3 . tʰ iː a m
ส่งต่อ	s o ŋ 1 . t ɔː 1
วงษ์	w o ŋ
ผู้ติดตาม	pʰ uː 2 . t i t 1 . t aː m
ชั่น	c ʰ a n 2
โดยสิ้นเชิง	d oː j . s i n 2 . c ʰ ɤː ŋ
ยาขัด	j aː . kʰ a t 1
การประมวล	k aː n . p r a 1 . m uː a n
อัตราขยาย	ʔ a t 1 . t r a . kʰ a 1 . j aː j 4
ศุภ	s u p 1 . pʰ a 3
เวลากลางวัน	w eː . l aː . k l aː ŋ . w a n
เสนอแนะ	s a 1 . n ɤː 4 . n ɛ 3
มหาวิทยาลัยมหิดล	m a 3 . h aː 4 . w i t 3 . tʰ a 3 . j aː . l a j . m a 3 . h i 1 . d o n
เนื้อสัตว์	n ɯː a 3 . s a t 1
ลองจิจูด	l ɔː ŋ . c i 1 . c uː t 1
ความแม่นยำ	kʰ w aː m . m ɛ n 2 . j a m
สืบไป	s ɯː p 1 . p a j
เจ้าคุณ	c aː w 2 . kʰ u n
เทคโนโลยีชีวภาพ	tʰ eː k 3 . n oː . l oː . j iː . c ʰ iː . w a 3 . pʰ aː p 2
พอประมาณ	pʰ ɔː . p r a 1 . m aː n
ไล	l a j
ปรับระดับ	p r a p 1 . r a 3 . d a p 1
เนื้อหาวิชา	n ɯː a 3 . h aː 4 . w i 3 . c ʰ aː
เพียงแต่	pʰ iː a ŋ . t ɛː 1
ถนัด	tʰ a 1 . n a t 1
ถัดมา	tʰ a t 1 . m aː
เพียงใด	pʰ iː a ŋ . d a j
ระบบผู้เชี่ยวชาญ	r a 3 . b o p 1 . pʰ uː 2 . c ʰ iː a w 2 . c ʰ aː n
วัฒน	w a t 3 . tʰ a 3 . n a 3
เป็นแถว	p e n . tʰ ɛː w 4
อย่างถูกต้อง	j aː ŋ 1 . tʰ uː k 1 . t ɔː ŋ 2
พระรามหก	pʰ r a 3 . r aː m . h o k 1
ริ่ง	r i ŋ 2
รายชื่อ	r aː j . c ʰ ɯː 2
ถลุง	tʰ a 1 . l u ŋ 4
แทนที่	tʰ ɛː n . tʰ iː 2
คำสันธาน	kʰ a m . s a n 4 . tʰ eː . h a 1
สภาวะ	s a 1 . pʰ aː . w a 3
วิภา	w i 3 . pʰ aː
ธเนศ	tʰ a 3 . n eː t 2
อันนี้	ʔ a n . n iː 3
อย่างกระทันหัน	j aː ŋ 1 . k r a 1 . tʰ a n . h a n 4
ตรีโกณมิติ	t r iː . k oː . n a 3 . m i 3 . t i 1
เป็นไปได้	p e n . p a j . d aː j 2
พันธ์	pʰ a n
การยืม	k aː n . j ɯː m
ด	d ɔː
ใบสั่งซื้อ	b a j . s a ŋ 1 . s ɯː 3
ส่วนควบคุม	s uː a n 1 . kʰ uː a p 2 . kʰ u m
อย่างดี	j aː ŋ 1 . d iː
ทางไกล	tʰ aː ŋ . k l a j
เปิดโอกาส	p ɤː t 1 . ʔ oː . k aː t 1
วจะ	w ɔː . c a 1
เพาะเลี้ยง	pʰ ɔ 3 . l iː a ŋ 3
เครื่องมือแพทย์	kʰ r ɯː a ŋ 2 . m ɯː . pʰ ɛː t 2
เครื่องกระตุ้น	kʰ r ɯː a ŋ 2 . k r a 1 . t u n 2
ธิค	tʰ i 3 . kʰ ɔː
หันไป	h a n 4 . p a j
จัดหมวดหมู่	c a t 1 . m uː a t 1 . m uː 1
การตัดสินใจ	k aː n . t a t 1 . s i n 4 . c a j
ไบ	b a j
เพิ่มเติม	pʰ ɤː m 2 . t ɤː m
ระยะหลัง	r a 3 . j a 3 . l a ŋ 4
กลศาสตร์	k o n . l a 3 . s aː t 1
เปรมปรีดิ์	p r eː m . p r iː
คณะทำงาน	kʰ a 3 . n a 3 . tʰ a m . ŋ aː n
โปรเซส	p r oː . s eː t 2
ฝึกอบรม	f ɯ k 1 . ʔ o p 1 . r o m
คริสตัล	kʰ r i t 3 . t a n
เฉพาะกิจ	c ʰ a 1 . pʰ ɔ 3 . k i t 1
ทางวิทยาศาสตร์	tʰ aː ŋ . w i t 3 . tʰ a 3 . j aː . s aː t 1
